"customer_id","customer_name","segment","country","city","state","postal_code","region"
"AG-10900","Arthur Gainer","Consumer","United States","Los Angeles","California","90008","West"
"TB-21175","Thomas Boland","Corporate","United States","Henderson","Kentucky","42420","South"
"BD-11605","Brian Dahlen","Consumer","United States","San Francisco","California","94122","West"
"AR-10510","Andrew Roberts","Consumer","United States","Columbus","Ohio","43229","East"
"LA-16780","Laura Armstrong","Corporate","United States","Bangor","Maine","4401","East"
"VW-21775","Victoria Wilson","Corporate","United States","Bellevue","Washington","98006","West"
"JM-15250","Janet Martin","Consumer","United States","Los Angeles","California","90032","West"
"SS-20875","Sung Shariari","Consumer","United States","Dallas","Texas","75220","Central"
"RP-19390","Resi Pölking","Consumer","United States","Thornton","Colorado","80229","West"
"HA-14920","Helen Andreada","Consumer","United States","Fayetteville","North Carolina","28314","South"
"EB-13930","Eric Barreto","Consumer","United States","Saint Petersburg","Florida","33710","South"
"DK-12835","Damala Kotsonis","Corporate","United States","Roseville","California","95661","West"
"MC-18100","Mick Crebagga","Consumer","United States","Medina","Ohio","44256","East"
"TW-21025","Tamara Willingham","Home Office","United States","Scottsdale","Arizona","85254","West"
"PW-19030","Pauline Webber","Corporate","United States","Los Angeles","California","90036","West"
"EP-13915","Emily Phan","Consumer","United States","Los Angeles","California","90008","West"
"JC-15775","John Castell","Consumer","United States","Newark","Delaware","19711","East"
"BN-11515","Bradley Nguyen","Consumer","United States","Lakeville","Minnesota","55044","Central"
"AP-10720","Anne Pryor","Home Office","United States","Frisco","Texas","75034","Central"
"BD-11320","Bill Donatelli","Consumer","United States","Providence","Rhode Island","2908","East"
"DP-13105","Dave Poirier","Corporate","United States","Seattle","Washington","98115","West"
"MG-17695","Maureen Gnade","Consumer","United States","Buffalo","New York","14215","East"
"TH-21100","Thea Hendricks","Consumer","United States","San Diego","California","92037","West"
"MH-17440","Mark Haberlin","Corporate","United States","Jackson","Mississippi","39212","South"
"LO-17170","Lori Olson","Corporate","United States","New York City","New York","10035","East"
"BF-11020","Barry Französisch","Corporate","United States","Modesto","California","95351","West"
"BS-11755","Bruce Stewart","Consumer","United States","Los Angeles","California","90032","West"
"TT-21220","Thomas Thornton","Consumer","United States","Virginia Beach","Virginia","23464","South"
"NF-18595","Nicole Fjeld","Home Office","United States","Chicago","Illinois","60610","Central"
"SC-20680","Steve Carroll","Home Office","United States","Seattle","Washington","98115","West"
"AH-10075","Adam Hart","Corporate","United States","Huntington Beach","California","92646","West"
"SM-20950","Suzanne McNair","Corporate","United States","Maple Grove","Minnesota","55369","Central"
"MP-17965","Michael Paige","Corporate","United States","Bristol","Tennessee","37620","South"
"SF-20065","Sandra Flanagan","Consumer","United States","Dallas","Texas","75220","Central"
"KH-16510","Keith Herrera","Consumer","United States","Seattle","Washington","98103","West"
"KM-16225","Kalyca Meade","Corporate","United States","New York City","New York","10011","East"
"RD-19585","Rob Dowd","Consumer","United States","Los Angeles","California","90008","West"
"SV-20785","Stewart Visinsky","Consumer","United States","Jacksonville","Florida","32216","South"
"CY-12745","Craig Yedwab","Corporate","United States","Columbia","Tennessee","38401","South"
"NK-18490","Neil Knudson","Home Office","United States","Philadelphia","Pennsylvania","19140","East"
"HA-14920","Helen Andreada","Consumer","United States","San Francisco","California","94109","West"
"PJ-18835","Patrick Jones","Corporate","United States","New York City","New York","10035","East"
"MC-18100","Mick Crebagga","Consumer","United States","Marysville","Washington","98270","West"
"MA-17560","Matt Abelman","Home Office","United States","Sheboygan","Wisconsin","53081","Central"
"BF-11215","Benjamin Farhat","Home Office","United States","Minneapolis","Minnesota","55407","Central"
"MT-17815","Meg Tillman","Consumer","United States","Port Arthur","Texas","77642","Central"
"JS-15940","Joni Sundaresam","Home Office","United States","Philadelphia","Pennsylvania","19134","East"
"NM-18520","Neoma Murray","Consumer","United States","Amarillo","Texas","79109","Central"
"RA-19915","Russell Applegate","Consumer","United States","Encinitas","California","92024","West"
"EB-14110","Eugene Barchas","Consumer","United States","Columbus","Ohio","43229","East"
"KH-16510","Keith Herrera","Consumer","United States","Houston","Texas","77095","Central"
"GB-14575","Giulietta Baptist","Consumer","United States","Philadelphia","Pennsylvania","19134","East"
"NC-18535","Nick Crebassa","Corporate","United States","Dallas","Texas","75217","Central"
"KA-16525","Kelly Andreada","Consumer","United States","Aurora","Illinois","60505","Central"
"HF-14995","Herbert Flentye","Consumer","United States","San Francisco","California","94109","West"
"MG-17650","Matthew Grinstein","Home Office","United States","Lakewood","Ohio","44107","East"
"JF-15490","Jeremy Farry","Consumer","United States","Chicago","Illinois","60653","Central"
"BC-11125","Becky Castell","Home Office","United States","Peoria","Arizona","85345","West"
"HG-14965","Henry Goldwyn","Corporate","United States","Chicago","Illinois","60653","Central"
"LW-17125","Liz Willingham","Consumer","United States","Norwich","Connecticut","6360","East"
"SJ-20125","Sanjit Jacobs","Home Office","United States","Franklin","Tennessee","37064","South"
"MF-18250","Monica Federle","Corporate","United States","Little Rock","Arkansas","72209","South"
"TC-21475","Tony Chapman","Home Office","United States","Danville","Illinois","61832","Central"
"DL-13495","Dionis Lloyd","Corporate","United States","Detroit","Michigan","48227","Central"
"JK-15730","Joe Kamberova","Consumer","United States","Concord","California","94521","West"
"RE-19405","Ricardo Emerson","Consumer","United States","Kent","Ohio","44240","East"
"ML-17755","Max Ludwig","Home Office","United States","Springfield","Ohio","45503","East"
"CS-12505","Cindy Stewart","Consumer","United States","Columbus","Georgia","31907","South"
"AG-10330","Alex Grayson","Consumer","United States","Charlotte","North Carolina","28205","South"
"KH-16690","Kristen Hastings","Corporate","United States","Los Angeles","California","90032","West"
"MB-18085","Mick Brown","Consumer","United States","Los Angeles","California","90049","West"
"VB-21745","Victoria Brennan","Corporate","United States","Lincoln Park","Michigan","48146","Central"
"JB-15400","Jennifer Braxton","Corporate","United States","Bristol","Connecticut","6010","East"
"LC-17050","Liz Carlisle","Consumer","United States","Mission Viejo","California","92691","West"
"GT-14755","Guy Thornton","Consumer","United States","Long Beach","California","90805","West"
"EA-14035","Erin Ashbrook","Corporate","United States","Philadelphia","Pennsylvania","19143","East"
"MB-18085","Mick Brown","Consumer","United States","Roseville","California","95661","West"
"TW-21025","Tamara Willingham","Home Office","United States","Charlottesville","Virginia","22901","South"
"MY-18295","Muhammed Yedwab","Corporate","United States","Durham","North Carolina","27707","South"
"MO-17800","Meg O'Connel","Home Office","United States","Spokane","Washington","99207","West"
